UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
6.0,1.0,6.0,2.0,7.0,9.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,72.0,33.0,5.0,1.0,6.0,1.0,2.0,3.0,3.0
3.0,2.0,8.0,1.0,6.0,2.0,9.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,24.0,10.0,6.0,1.0,2.0,4.0,4.0,1.0,2.0
1.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,33.0,48.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
3.0,1.0,2.0,2.0,1.0,5.0,3.0,17.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,41.0,74.0,5.0,1.0,2.0,1.0,1.0,6.0,4.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,41.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,25.0,57.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0
7.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,4.0,23.0,10.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0
4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,42.0,6.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0
6.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,6.0,2.0,5.0,1.0,4.0,5.0,7.0,3.0,1.0,8.0,3.0,4.0,10.0,2.0
1.0,4.0,3.0,5.0,3.0,1.0,7.0,3.0,1.0,1.0,2.0,4.0,2.0,4.0,5.0,3.0,120.0,15.0,3.0,1.0,4.0,5.0,2.0,8.0,1.0
5.0,1.0,5.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,7.0,100.0,46.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0
3.0,5.0,7.0,2.0,3.0,2.0,7.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,9.0,9.0,5.0,1.0,2.0,4.0,1.0,2.0,5.0
2.0,1.0,10.0,1.0,3.0,3.0,1.0,8.0,4.0,3.0,2.0,7.0,2.0,1.0,2.0,2.0,54.0,17.0,6.0,2.0,5.0,1.0,2.0,2.0,2.0
3.0,4.0,3.0,4.0,6.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,28.0,30.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0
2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,99.0,1.0,2.0,2.0,2.0,1.0,2.0,26.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
4.0,2.0,7.0,4.0,3.0,1.0,3.0,9.0,2.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,70.0,8.0,6.0,3.0,3.0,3.0,2.0,6.0,6.0
3.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,69.0,16.0,8.0,2.0,4.0,2.0,1.0,4.0,3.0
1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,74.0,75.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,6.0,14.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
1.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,6.0,26.0,10.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0
1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,47.0,56.0,3.0,1.0,3.0,2.0,1.0,5.0,2.0
1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,34.0,20.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0
4.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,93.0,18.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0
2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,5.0,9.0,25.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105.0,88.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0
5.0,6.0,3.0,6.0,2.0,5.0,4.0,6.0,4.0,2.0,1.0,3.0,4.0,5.0,7.0,3.0,49.0,25.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0
2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,3.0,2.0,3.0,5.0,3.0,9.0,2.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,38.0,64.0,3.0,2.0,5.0,5.0,2.0,6.0,4.0
2.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,6.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0
3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,119.0,46.0,8.0,2.0,4.0,2.0,1.0,1.0,5.0
8.0,3.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,13.0,10.0,10.0,2.0,4.0,3.0,7.0,7.0,1.0
3.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,40.0,8.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0
1.0,1.0,4.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,63.0,47.0,6.0,2.0,2.0,1.0,3.0,10.0,2.0
1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,42.0,52.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,29.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,149.0,27.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0
1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,16.0,4.0,2.0,2.0,5.0,3.0,1.0,3.0,3.0
1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,60.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
6.0,3.0,2.0,3.0,2.0,4.0,7.0,6.0,2.0,1.0,3.0,9.0,2.0,9.0,10.0,7.0,37.0,5.0,9.0,2.0,2.0,2.0,7.0,9.0,87.0
2.0,1.0,5.0,6.0,4.0,1.0,1.0,5.0,2.0,4.0,3.0,4.0,2.0,5.0,1.0,1.0,10.0,12.0,7.0,3.0,6.0,2.0,2.0,4.0,7.0
1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,3.0,58.0,93.0,6.0,1.0,2.0,1.0,2.0,3.0,2.0
4.0,2.0,6.0,1.0,7.0,4.0,2.0,4.0,5.0,2.0,5.0,6.0,6.0,2.0,4.0,3.0,14.0,35.0,5.0,2.0,9.0,5.0,1.0,8.0,6.0
1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,9.0,2.0,4.0,2.0,1.0,45.0,26.0,5.0,4.0,2.0,2.0,1.0,2.0,4.0
4.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,3.0,50.0,3.0,4.0,3.0,4.0,3.0,1.0,36.0,16.0,5.0,2.0,5.0,2.0,2.0,13.0,2.0
2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,17.0,81.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0
4.0,1.0,5.0,1.0,4.0,5.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,139.0,84.0,6.0,3.0,1.0,5.0,4.0,4.0,3.0
3.0,3.0,2.0,8.0,6.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,12.0,26.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0
2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,98.0,41.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,2.0,2.0,4.0,6.0,2.0,3.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,42.0,3.0,8.0,2.0,8.0,4.0,4.0,3.0,7.0
2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,27.0,48.0,7.0,3.0,4.0,1.0,1.0,4.0,3.0
5.0,2.0,6.0,4.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,7.0,3.0,1.0,3.0,6.0,9.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0
3.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,42.0,42.0,1.0,1.0,1.0,1.0,1.0,31.0,20.0,3.0,3.0,3.0,2.0,1.0,5.0,3.0
2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,58.0,31.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0
3.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,30.0,39.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,113.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,154.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0
2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,34.0,31.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0
3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,44.0,105.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0
1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,49.0,58.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0
10.0,1.0,6.0,1.0,3.0,6.0,2.0,7.0,8.0,2.0,2.0,3.0,1.0,2.0,1.0,6.0,19.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0
3.0,1.0,2.0,3.0,4.0,2.0,3.0,36.0,3.0,3.0,3.0,2.0,3.0,7.0,3.0,3.0,36.0,28.0,6.0,2.0,5.0,3.0,7.0,2.0,3.0
4.0,4.0,2.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,33.0,14.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0
2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,53.0,118.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0
4.0,3.0,4.0,1.0,6.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,67.0,83.0,7.0,2.0,2.0,2.0,4.0,3.0,3.0
7.0,1.0,2.0,6.0,4.0,3.0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,64.0,15.0,2.0,1.0,5.0,6.0,2.0,2.0,3.0
2.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,18.0,1.0,5.0,1.0,3.0,2.0,3.0,1.0,2.0
3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,21.0,14.0,6.0,1.0,7.0,1.0,2.0,3.0,2.0
1.0,1.0,1.0,1.0,2.0,1.0,17.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,69.0,8.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0
5.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,25.0,8.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0
1.0,1.0,4.0,1.0,5.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,17.0,27.0,4.0,1.0,4.0,3.0,2.0,5.0,5.0
