UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0
5.0,1.0,1.0,3.0,2.0,5.0,1.0,2.0,6.0,1.0,1.0,4.0,1.0,1.0,13.0,1.0,45.0,20.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0
26.0,1.0,3.0,9.0,1.0,1.0,3.0,3.0,2.0,6.0,8.0,1.0,2.0,1.0,1.0,2.0,20.0,18.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0
2.0,3.0,2.0,1.0,5.0,3.0,1.0,2.0,1.0,4.0,5.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0
24.0,1.0,4.0,4.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,5.0,8.0,16.0,8.0,2.0,3.0,4.0,3.0,6.0,1.0,2.0
5.0,2.0,5.0,2.0,1.0,4.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,26.0,15.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0
4.0,1.0,6.0,7.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,7.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,4.0
2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,17.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0
15.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0,4.0,5.0,63.0,4.0,3.0,2.0,1.0,1.0,33.0,1.0,1.0
11.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,9.0,7.0,2.0,2.0,5.0,5.0,1.0,9.0,1.0,9.0,1.0,2.0,1.0,3.0,2.0
1.0,2.0,5.0,1.0,1.0,2.0,2.0,6.0,3.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,23.0,1.0,6.0,1.0,1.0,3.0,1.0,7.0
3.0,3.0,1.0,3.0,5.0,5.0,6.0,4.0,1.0,4.0,6.0,1.0,2.0,2.0,4.0,3.0,4.0,6.0,1.0,3.0,1.0,3.0,1.0,1.0,6.0
2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,4.0,8.0,1.0,2.0,1.0,1.0,8.0,14.0,1.0,3.0,1.0,1.0,3.0,6.0,2.0
1.0,4.0,7.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,65.0,2.0,1.0,1.0,1.0,1.0,6.0,8.0,1.0
9.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0
10.0,4.0,1.0,9.0,3.0,7.0,1.0,1.0,5.0,20.0,2.0,3.0,5.0,1.0,4.0,2.0,17.0,5.0,1.0,9.0,1.0,3.0,4.0,5.0,1.0
1.0,1.0,1.0,5.0,1.0,4.0,1.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,37.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0
2.0,1.0,1.0,1.0,4.0,6.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
3.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,11.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,30.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
