UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
1.0,3.0,1.0,2.0,1.0,24.0,9.0,82.0,81.0,81.0,55.0,2.0,2.0,6.0,2.0,2.0,22.0,91.0,3.0,1.0,2.0,66.0,1.0,2.0,24.0
1.0,1.0,1.0,1.0,72.0,18.0,79.0,73.0,81.0,49.0,78.0,18.0,1.0,1.0,1.0,79.0,13.0,62.0,1.0,1.0,1.0,12.0,2.0,72.0,1.0
3.0,1.0,72.0,1.0,1.0,23.0,1.0,1.0,72.0,1.0,1.0,23.0,1.0,1.0,71.0,1.0,13.0,14.0,1.0,1.0,1.0,6.0,1.0,11.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,5.0,33.0,47.0,32.0,32.0,47.0,2.0,4.0,2.0,2.0,10.0,43.0,2.0,2.0,21.0,10.0,1.0,3.0,13.0
6.0,1.0,3.0,3.0,1.0,22.0,17.0,58.0,14.0,34.0,34.0,6.0,1.0,3.0,1.0,15.0,10.0,13.0,3.0,1.0,2.0,16.0,1.0,3.0,12.0
78.0,1.0,1.0,1.0,1.0,25.0,1.0,80.0,4.0,1.0,1.0,2.0,1.0,82.0,2.0,19.0,14.0,66.0,1.0,1.0,10.0,10.0,1.0,25.0,23.0
1.0,1.0,15.0,1.0,1.0,21.0,8.0,11.0,21.0,1.0,1.0,1.0,1.0,3.0,2.0,10.0,6.0,20.0,1.0,1.0,5.0,21.0,1.0,10.0,10.0
46.0,3.0,1.0,1.0,1.0,46.0,5.0,10.0,46.0,32.0,46.0,12.0,1.0,1.0,15.0,4.0,15.0,38.0,2.0,1.0,5.0,5.0,1.0,14.0,9.0
70.0,2.0,1.0,1.0,1.0,21.0,21.0,29.0,21.0,1.0,1.0,21.0,1.0,8.0,1.0,21.0,10.0,65.0,8.0,1.0,5.0,16.0,3.0,3.0,3.0
55.0,1.0,54.0,2.0,54.0,18.0,54.0,16.0,17.0,1.0,38.0,6.0,6.0,18.0,2.0,5.0,14.0,66.0,3.0,1.0,10.0,13.0,2.0,12.0,2.0
79.0,6.0,28.0,1.0,2.0,13.0,11.0,50.0,6.0,83.0,86.0,1.0,2.0,1.0,7.0,86.0,6.0,61.0,5.0,1.0,2.0,5.0,7.0,2.0,18.0
1.0,1.0,1.0,1.0,2.0,17.0,3.0,29.0,51.0,28.0,30.0,1.0,1.0,1.0,1.0,1.0,63.0,11.0,1.0,1.0,15.0,1.0,1.0,48.0,1.0
1.0,1.0,61.0,1.0,2.0,16.0,16.0,43.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,9.0,9.0,1.0,1.0,2.0,29.0,1.0,1.0,7.0
7.0,1.0,1.0,1.0,3.0,5.0,6.0,1.0,21.0,48.0,32.0,3.0,1.0,1.0,1.0,6.0,31.0,4.0,1.0,1.0,2.0,10.0,1.0,5.0,4.0
62.0,62.0,62.0,2.0,62.0,21.0,64.0,3.0,62.0,64.0,64.0,21.0,62.0,1.0,62.0,63.0,13.0,48.0,62.0,62.0,5.0,15.0,2.0,65.0,64.0
